timestamp,resource_id,service,cost_per_hour,total_cost,data_transfer_gb,storage_gb
2026-02-24T10:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.076893,0.0013,500
2026-02-24T11:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.153786,0.0007,500
2026-02-24T12:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.230679,0.0007,500
2026-02-24T13:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.307573,0.0004,500
2026-02-24T14:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.384466,0.0001,500
2026-02-24T15:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.461359,0.0007,500
2026-02-24T16:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.538252,0.0006,500
2026-02-24T17:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.615145,0.0004,500
2026-02-24T18:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.692038,0.001,500
2026-02-24T19:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.768932,0.0008,500
2026-02-24T20:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.845825,0.001,500
2026-02-24T21:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.922718,0.001,500
2026-02-24T22:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,0.999611,0.0014,500
2026-02-24T23:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.076504,0.002,500
2026-02-25T00:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.153397,0.0021,500
2026-02-25T01:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.23029,0.0014,500
2026-02-25T02:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.307184,0.0016,500
2026-02-25T03:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.384077,0.0019,500
2026-02-25T04:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.46097,0.0017,500
2026-02-25T05:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.537863,0.002,500
2026-02-25T06:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.614756,0.0019,500
2026-02-25T07:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.691649,0.0016,500
2026-02-25T08:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.768542,0.0015,500
2026-02-25T09:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.845436,0.0011,500
2026-02-25T10:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.922329,0.0006,500
2026-02-25T11:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,Compute Engine,0.0084,1.999222,0.0002,500
