resource_id,resource_type,region,instance_type,owner_tag,creation_time,status,anomaly_type,cost_per_hour,provider
projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,ComputeInstance,us-central1,e2-micro,research-lab,2026-02-28T21:14,running,normal,0.0084,gcp
/subscriptions/sub-abc/resourceGroups/rg-afa406/providers/Microsoft.Compute/virtualMachines/vm-afa406ef,VirtualMachine,eastus,Standard_B1s,data-engineering,2026-02-28T11:14,running,normal,0.0104,azure
projects/cloudguard-demo/zones/us-central1-a/instances/instance-f0793bae,ComputeInstance,southamerica-east1,a2-highgpu-1g,devops,2026-02-13T06:14,running,normal,3.673,gcp
/subscriptions/sub-abc/resourceGroups/rg-343da8/providers/Microsoft.Compute/virtualMachines/vm-343da8e6,VirtualMachine,westeurope,Standard_D4s_v3,devops,2026-03-06T01:14,running,normal,0.192,azure
/subscriptions/sub-abc/resourceGroups/rg-ef1881/providers/Microsoft.Compute/virtualMachines/vm-ef1881ee,VirtualMachine,southeastasia,Standard_NC6,ml-team,2026-02-15T12:14,running,normal,0.9,azure
projects/cloudguard-demo/zones/us-central1-a/instances/instance-8686b364,ComputeInstance,asia-east1,a2-highgpu-1g,devops,2026-03-08T11:14,running,normal,3.673,gcp
i-e330f507871143628,EC2,eu-west-1,c5.4xlarge,temp-infra,2026-02-22T20:14,running,normal,0.68,aws
/subscriptions/sub-abc/resourceGroups/rg-6e8b54/providers/Microsoft.Compute/virtualMachines/vm-6e8b5441,VirtualMachine,eastus,Standard_NC12,backend-services,2026-02-27T23:14,running,normal,1.8,azure
projects/cloudguard-demo/zones/us-central1-a/instances/instance-0c8209b4,ComputeInstance,europe-west1,a2-highgpu-4g,abandoned-project,2026-02-28T15:14,running,normal,14.692,gcp
i-fcc08efbe1624085a,EC2,eu-west-1,r5.large,devops,2026-02-17T02:14,running,normal,0.126,aws
i-3d6d2545b5214158b,EC2,sa-east-1,p3.8xlarge,research-lab,2026-02-20T03:14,running,normal,12.24,aws
i-33b26fca71214536a,EC2,ap-southeast-1,p3.2xlarge,data-engineering,2026-03-05T17:14,running,normal,3.06,aws
/subscriptions/sub-abc/resourceGroups/rg-94f2de/providers/Microsoft.Compute/virtualMachines/vm-94f2de56,VirtualMachine,brazilsouth,Standard_D8s_v3,finance-analytics,2026-02-14T19:14,running,normal,0.384,azure
projects/cloudguard-demo/zones/us-central1-a/instances/instance-6ac5c639,ComputeInstance,us-central1,n1-standard-4,research-lab,2026-03-03T16:14,running,normal,0.19,gcp
i-697cca25544943b0a,EC2,us-east-1,p3.2xlarge,research-lab,2026-02-16T18:14,running,normal,3.06,aws
projects/cloudguard-demo/zones/us-central1-a/instances/instance-b958a5ba,ComputeInstance,us-central1,a2-highgpu-1g,abandoned-project,2026-03-09T14:14,running,normal,3.673,gcp
i-019200d7afa04c45a,EC2,us-east-1,r5.large,data-engineering,2026-03-07T11:14,running,normal,0.126,aws
i-5de2effb55004069a,EC2,sa-east-1,m5.4xlarge,unknown,2026-02-15T09:14,running,normal,0.768,aws
projects/cloudguard-demo/zones/us-central1-a/instances/instance-d2e8b427,ComputeInstance,southamerica-east1,n1-standard-4,finance-analytics,2026-03-05T06:14,running,normal,0.19,gcp
projects/cloudguard-demo/zones/us-central1-a/instances/instance-8829100e,ComputeInstance,europe-west1,a2-highgpu-1g,devops,2026-03-07T09:14,running,normal,3.673,gcp
/subscriptions/sub-abc/resourceGroups/rg-f1840c/providers/Microsoft.Compute/virtualMachines/vm-f1840cbf,VirtualMachine,westeurope,Standard_B1s,research-lab,2026-02-17T16:14,running,normal,0.0104,azure
projects/cloudguard-demo/zones/us-central1-a/instances/instance-46c26f59,ComputeInstance,southamerica-east1,a2-highgpu-1g,devops,2026-02-21T01:14,running,normal,3.673,gcp
/subscriptions/sub-abc/resourceGroups/rg-74e874/providers/Microsoft.Compute/virtualMachines/vm-74e87422,VirtualMachine,brazilsouth,Standard_D8s_v3,temp-infra,2026-02-09T16:14,running,normal,0.384,azure
i-ce8d133007e946bc9,EC2,us-west-2,m5.2xlarge,devops,2026-02-19T06:14,running,normal,0.384,aws
i-d03dd7941f874e879,EC2,ap-southeast-1,t3.medium,finance-analytics,2026-03-08T06:14,running,normal,0.0416,aws
/subscriptions/sub-abc/resourceGroups/rg-3a9d38/providers/Microsoft.Compute/virtualMachines/vm-3a9d3826,VirtualMachine,westeurope,Standard_D8s_v3,unknown,2026-03-03T09:14,running,normal,0.384,azure
/subscriptions/sub-abc/resourceGroups/rg-145a78/providers/Microsoft.Compute/virtualMachines/vm-145a78e1,VirtualMachine,brazilsouth,Standard_D4s_v3,finance-analytics,2026-02-17T15:14,running,normal,0.192,azure
i-557657492f4c4e868,EC2,eu-west-1,m5.4xlarge,ml-team,2026-02-13T11:14,running,over_provisioned,0.768,aws
projects/cloudguard-demo/zones/us-central1-a/instances/instance-817fc464,ComputeInstance,europe-west1,e2-micro,data-engineering,2026-03-07T12:14,running,over_provisioned,0.0084,gcp
projects/cloudguard-demo/zones/us-central1-a/instances/instance-297247fa,ComputeInstance,us-central1,n1-standard-2,data-engineering,2026-02-10T08:14,running,over_provisioned,0.095,gcp
